temperature 	 Volume_T	Volume_0	Volume_thermal_expansion	Linear_thermal_expansion	Cv_calc	Linear_expansion_factor	phi
468.0	46.18186167820461	45.64128985291565	7.692865545575473e-06	2.5642885151918243e-06	12.844449768398826	1.0012000870251099	8.63250774456132e-07
470.0	46.1825762678278	45.64128985291565	7.73669138941843e-06	2.578897129806143e-06	12.907253548241645	1.0012120816510088	8.725928053610258e-07
472.0	46.18329456170145	45.64128985291565	7.776676094115974e-06	2.592225364705325e-06	12.969683837674738	1.0012235303721408	8.811390513317212e-07
474.0	46.184016921189766	45.64128985291565	7.820571217036692e-06	2.606857072345564e-06	13.031793071875539	1.0012356502522919	8.906390411515512e-07
476.0	46.18474297996648	45.64128985291565	7.860498340285949e-06	2.6201661134286496e-06	13.093529071237255	1.001247199069992	8.993067140290172e-07
478.0	46.185472834169786	45.64128985291565	7.901464382117974e-06	2.6338214607059914e-06	13.154926118790474	1.0012589666582175	9.082783431081226e-07
480.0	46.186206695003534	45.64128985291565	7.944714958128286e-06	2.6482383193760954e-06	13.215993466615373	1.0012711543933006	9.178448284402911e-07
482.0	46.186944180804076	45.64128985291565	7.983831681740877e-06	2.661277227246959e-06	13.276688384534843	1.001282735623533	9.265271681265186e-07
484.0	46.187685467474715	45.64128985291565	8.024850786155434e-06	2.6749502620518113e-06	13.337052618381666	1.001294675926833	9.357170362512075e-07
486.0	46.18843062885476	45.64128985291565	8.066667256689946e-06	2.6888890855633153e-06	13.39707958104223	1.0013068000955838	9.451626090301649e-07
488.0	46.18917933704781	45.64128985291565	8.104932153538966e-06	2.701644051179655e-06	13.45674037028499	1.0013184022969757	9.53845137661853e-07
490.0	46.18993195547833	45.64128985291565	8.147129277030738e-06	2.7157097590102457e-06	13.516087203980973	1.001330697781915	9.63519571712094e-07
492.0	46.190688155600824	45.64128985291565	8.185767877124511e-06	2.728589292374837e-06	13.575069588915145	1.0013424659318484	9.724230154995173e-07
494.0	46.19144802201413	45.64128985291565	8.225320336692466e-06	2.7417734455641556e-06	13.63371926034858	1.0013544360821087	9.816094442467303e-07
496.0	46.19221161622403	45.64128985291565	8.26553661552354e-06	2.75517887184118e-06	13.692035571360885	1.0013665687204332	9.910223070330362e-07
498.0	46.19297890123912	45.64128985291565	8.305350493593168e-06	2.768450164531056e-06	13.750012184572881	1.0013786881819364	1.0004077960147956e-06
500.0	46.19374974307412	45.64128985291565	8.343712110960278e-06	2.781237370320093e-06	13.80764285723823	1.00139061868516	1.0095113502215139e-06
502.0	46.194524172624156	45.64128985291565	8.382406216661317e-06	2.7941354055537724e-06	13.864941105636706	1.001402655973588	1.0187614443574828e-06
504.0	46.19530228307815	45.64128985291565	8.422107034648633e-06	2.8073690115495443e-06	13.921912814685271	1.001414913981821	1.0283237376105045e-06
506.0	46.19608384526981	45.64128985291565	8.459325440417433e-06	2.8197751468058107e-06	13.97853468688502	1.0014268062242837	1.037347831917476e-06
508.0	46.19686895037075	45.64128985291565	8.497528746893988e-06	2.8325095822979957e-06	14.03483221830632	1.0014389148678073	1.0466783035931e-06
510.0	46.19765774979973	45.64128985291565	8.537368948413978e-06	2.845789649471326e-06	14.090811277917428	1.0014513527212303	1.0564796676697665e-06
512.0	46.1984498585549	45.64128985291565	8.573040211916444e-06	2.8576800706388146e-06	14.14643210253993	1.0014631321961671	1.0653175329414418e-06
514.0	46.19924557287706	45.64128985291565	8.611915817468818e-06	2.8706386058229394e-06	14.201748046435592	1.001475508243393	1.0750153337302704e-06
516.0	46.2000447473641	45.64128985291565	8.64921577325008e-06	2.8830719244166934e-06	14.256726580549625	1.001487665112999	1.0843878641149415e-06
518.0	46.200847371286116	45.64128985291565	8.68639766911379e-06	2.895465889704597e-06	14.311379309430542	1.001499851330867	1.0937965066157587e-06
