temperature	strain-1_cv	strain-2_cv	strain-3_cv	strain-4_cv	strain-5_cv	strain-6_cv	strain-7_cv	strain-8_cv	strain-9_cv	strain-10_cv	strain-11_cv
394.0	8.226607525	8.60431125	8.9952994	9.400971675	9.817399225	10.2425943125	10.6735894125	11.1090733375	11.5471826	11.981847375	12.417540325
396.0	8.2952586	8.67470465	9.0672231375	9.4741948375	9.8916769125	10.3176711	10.7492091375	11.1849785625	11.6231201625	12.0575821625	12.4928368125
398.0	8.3637720875	8.744925225	9.1389372125	9.547170425	9.96566885	10.3924244375	10.8244688375	11.260488875	11.698630125	12.132859425	12.5676487375
400.0	8.432144075	8.8149691875	9.2104380625	9.6198952	10.0393722375	10.4668520125	10.899366725	11.3356031	11.773711925	12.2076792875	12.641976875
402.0	8.5003708	8.8848329	9.28172225	9.6923660625	10.112784375	10.5409515875	10.9739011625	11.410320175	11.8483651625	12.2820419875	12.7158220875
404.0	8.5684485375	8.9545127625	9.35278645	9.76458	10.18590265	10.6147210875	11.0480705875	11.48463915	11.9225895125	12.355947825	12.78918535
406.0	8.636373675	9.024005325	9.42362745	9.8365341375	10.2587246375	10.6881585375	11.1218735875	11.5585592125	11.9963847625	12.429397225	12.8620677125
408.0	8.704142675	9.0933072125	9.4942421	9.9082256875	10.33124795	10.7612620875	11.19530885	11.6320796125	12.0697508	12.5023907	12.9344702875
410.0	8.7717521	9.16241515	9.5646273875	9.9796519875	10.4034703625	10.8340299625	11.268375175	11.7051997375	12.142687625	12.57492885	13.006394325
412.0	8.8391985875	9.2313259375	9.6347804125	10.0508104625	10.47538975	10.90646055	11.3410714625	11.7779190875	12.2151953125	12.6470123625	13.0778410875
414.0	8.90647885	9.3000364875	9.70469835	10.1216986625	10.5470040625	10.9785523	11.413396725	11.8502372375	12.28727405	12.718642025	13.1488119625
416.0	8.9735896875	9.3685438	9.774378475	10.1923142375	10.6183114	11.0503038	11.4853500625	11.9221538625	12.3589240875	12.7898186875	13.2193083875
418.0	9.0405280125	9.436844975	9.843818175	10.2626549375	10.689309925	11.1217137125	11.5569306875	11.993668725	12.4301458	12.8605432875	13.28933185
420.0	9.1072907875	9.5049371875	9.9130149125	10.332718575	10.7599979375	11.1927808	11.6281379	12.0647817125	12.5009396125	12.9308168125	13.35888395
422.0	9.17387505	9.5728177	9.9819662625	10.402503125	10.8303738	11.26350395	11.6989711	12.1354927625	12.5713060375	13.000640375	13.4279663
424.0	9.24027795	9.640483875	10.050669875	10.4720066	10.9004359875	11.3338821125	11.7694297875	12.2058019125	12.6412456875	13.0700151	13.4965806
426.0	9.3064966875	9.70793315	10.1191235	10.541227125	10.970183075	11.4039143375	11.8395135125	12.275709275	12.710759225	13.1389422125	13.564728625
428.0	9.37252855	9.77516305	10.187324975	10.61016295	11.039613725	11.473599775	11.90922195	12.34521505	12.7798473875	13.207423	13.63241215
430.0	9.4383709125	9.8421711875	10.2552722375	10.67881235	11.1087266625	11.5429376625	11.9785548375	12.414319525	12.848511	13.2754588125	13.6996330625
432.0	9.5040212125	9.90895525	10.322963275	10.747173725	11.1775207375	11.6119273	12.0475120125	12.4830230375	12.9167509375	13.3430510375	13.7663932625
434.0	9.5694769625	9.9755130125	10.3903962	10.815245575	11.2459948625	11.6805680875	12.1160933625	12.5513260125	12.98456815	13.4102011375	13.8326947
