temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
200.0	-8.68541949475	-8.771793682750001	-8.836474684874998	-8.881714123250001	-8.909222489000001	-8.921247913875	-8.919310940499999	-8.90494630075	-8.879238568749999	-8.843769647375	-8.799535691
202.0	-8.6854314435	-8.77180627725	-8.836487991124999	-8.881728235	-8.909237498	-8.921263925375	-8.919328065125	-8.904964668875	-8.879258329125	-8.8437909385	-8.799558714625
204.0	-8.685443769	-8.771819268125	-8.83650171575	-8.881742789625001	-8.909252977125	-8.9212804375	-8.919345723625	-8.904983607875	-8.879278701125	-8.843812885	-8.799582441875001
206.0	-8.685456477875	-8.77183266225	-8.83651586575	-8.881757794750001	-8.9092689345	-8.9212974585	-8.919363925	-8.90500312725	-8.8792996945	-8.84383549725	-8.799606883625001
208.0	-8.685469576500001	-8.771846466625	-8.836530448249999	-8.88177325775	-8.909285378	-8.921314997125	-8.9193826785	-8.905023236375	-8.879321319375	-8.843858786	-8.799632050875001
210.0	-8.685483071250001	-8.771860687750001	-8.836545470625	-8.8817891865	-8.90930231575	-8.92133306175	-8.919401992875	-8.905043945	-8.87934358575	-8.843882761375001	-8.799657954625001
212.0	-8.6854969685	-8.771875332375	-8.836560939875	-8.88180558825	-8.909319755750001	-8.92135166075	-8.919421877	-8.90506526225	-8.8793665035	-8.843907434	-8.799684605625
214.0	-8.68551127475	-8.7718904075	-8.836576863249999	-8.881822470625	-8.909337705875	-8.921370802624999	-8.91944234	-8.905087197625	-8.87939008225	-8.843932814	-8.799712014375
216.0	-8.685525996375	-8.7719059195	-8.836593247624998	-8.88183984125	-8.90935617425	-8.92139049575	-8.919463390375	-8.9051097605	-8.879414332	-8.843958911500001	-8.799740191625
218.0	-8.685541139500002	-8.771921875250001	-8.836610100125	-8.881857707375	-8.9093751685	-8.9214107485	-8.91948503725	-8.905132959874999	-8.87943926225	-8.843985736750001	-8.79976914775
220.0	-8.685556710625	-8.7719382815	-8.836627427875	-8.881876076500001	-8.909394696625	-8.921431569	-8.91950728925	-8.905156805125	-8.87946488275	-8.844013299625	-8.799798893250001
222.0	-8.685572716125002	-8.771955144625	-8.836645237874999	-8.881894956250001	-8.909414766375	-8.92145296575	-8.919530154875	-8.90518130525	-8.879491203	-8.84404161025	-8.799829438375001
224.0	-8.685589161875	-8.771972471375001	-8.836663537	-8.88191435375	-8.909435385625	-8.92147494675	-8.919553643124999	-8.905206469374999	-8.8795182325	-8.84407067825	-8.799860793250001
226.0	-8.685606054500001	-8.771990268375001	-8.83668233225	-8.881934276375	-8.90945656225	-8.921497520374999	-8.91957776225	-8.905232306625	-8.8795459805	-8.844100513375	-8.799892968
228.0	-8.685623400125001	-8.772008542125	-8.836701630499999	-8.8819547315	-8.909478303625	-8.9215206945	-8.919602521	-8.90525882575	-8.879574456375	-8.8441311255	-8.7999259725
230.0	-8.68564120475	-8.772027299125	-8.836721438875	-8.8819757265	-8.90950061775	-8.9215444775	-8.91962792775	-8.905286035625	-8.8796036695	-8.844162524000001	-8.79995981675
232.0	-8.685659474625	-8.772046545875	-8.836741764	-8.881997268375	-8.909523512	-8.921568877124999	-8.919653991	-8.905313945125	-8.87963362875	-8.8441947185	-8.799994510375
234.0	-8.685678216000001	-8.772066288875001	-8.836762612625	-8.8820193645	-8.90954699425	-8.9215939015	-8.919680719	-8.905342562875	-8.879664343375	-8.844227718125001	-8.800030063000001
236.0	-8.685697434875001	-8.7720865345	-8.83678399175	-8.882042021875	-8.909571071750001	-8.9216195585	-8.919708120125	-8.905371897625	-8.879695822375	-8.844261532375	-8.800066484
238.0	-8.685717137125001	-8.77210728925	-8.836805908125	-8.882065247875001	-8.909595752	-8.921645855875	-8.9197362025	-8.905401957875	-8.8797280745	-8.84429617025	-8.800103783
240.0	-8.685737329125	-8.772128559375	-8.83682836825	-8.88208904925	-8.90962104275	-8.921672801625	-8.91976497425	-8.905432752125	-8.879761108624999	-8.844331640875001	-8.800141969250001
242.0	-8.685758016625002	-8.77215035125	-8.836851378999999	-8.88211343325	-8.909646951000001	-8.9217004035	-8.91979444375	-8.90546428875	-8.879794933374999	-8.844367953125001	-8.80018105175
244.0	-8.68577920575	-8.77217267125	-8.836874947	-8.882138406875	-8.909673484375	-8.921728669	-8.919824618749999	-8.90549657625	-8.879829557375	-8.844405115875	-8.8002210395
246.0	-8.685800902250001	-8.772195525375	-8.83689907875	-8.882163977000001	-8.909700650125	-8.921757605875	-8.91985550725	-8.905529622625	-8.87986498925	-8.844443138	-8.8002619415
248.0	-8.68582311225	-8.772218920250001	-8.836923780749999	-8.8821901505	-8.90972845525	-8.921787221625	-8.919887117125	-8.90556343625	-8.879901237375	-8.844482027875001	-8.800303766625001
250.0	-8.685845841375	-8.77224286175	-8.83694905975	-8.882216934375	-8.909756907250001	-8.921817523875	-8.91991945625	-8.905598025125	-8.87993831	-8.844521794250001	-8.800346523375001
252.0	-8.685869095625002	-8.772267356	-8.836974922	-8.882244335125	-8.909786013125	-8.921848519874999	-8.919952532375	-8.905633397125	-8.879976215375	-8.844562445375	-8.800390220250002
254.0	-8.68589288075	-8.772292409375	-8.837001374124998	-8.88227235975	-8.909815779875	-8.92188021725	-8.919986353125	-8.905669560375	-8.880014961625	-8.84460398975	-8.800434865875001
