temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
220.0	-8.842276495875	-8.87218605725	-8.894639799875	-8.910224162875	-8.919309545375	-8.92225240425	-8.919391115249999	-8.911003381250001	-8.897279886	-8.878373109375001	-8.854509412
222.0	-8.84229938075	-8.87220863975	-8.894662150875	-8.910246353625	-8.919331638625	-8.922274452375001	-8.919413208125	-8.911025567375	-8.897302232625	-8.87839568275	-8.854532287875001
224.0	-8.842322886	-8.872231835625	-8.89468510975	-8.910269148625	-8.919354334125	-8.92229710175	-8.919435903	-8.9110483575	-8.897325186625	-8.87841886825	-8.854555781625
226.0	-8.842347019875	-8.872255653249999	-8.894708685125	-8.910292556375	-8.91937764	-8.922320360875	-8.919459208374999	-8.911071760250001	-8.8973487565	-8.878442674250001	-8.85457990175
228.0	-8.842371791	-8.872280100874999	-8.894732885125	-8.910316585	-8.919401564625	-8.922344238	-8.9194831325	-8.911095783625	-8.8973729505	-8.87846710875	-8.85460465625
230.0	-8.842397207374999	-8.87230518675	-8.894757718000001	-8.910341243	-8.919426116375	-8.922368741375001	-8.91950768375	-8.91112043625	-8.897397776875	-8.878492180250001	-8.854630053500001
232.0	-8.842423277375	-8.87233091925	-8.894783192	-8.910366538375	-8.919451303375	-8.922393879125	-8.919532870125	-8.911145726	-8.897423243875	-8.878517896875001	-8.854656101500002
234.0	-8.842450009124999	-8.872357306375	-8.894809315375001	-8.910392479375	-8.919477133875	-8.922419659625001	-8.9195587	-8.911171661000001	-8.897449359374999	-8.8785442665	-8.854682808375001
236.0	-8.842477410625	-8.872384356125	-8.894836096	-8.910419074	-8.919503615625	-8.922446090625	-8.91958518125	-8.911198249625	-8.89747613175	-8.878571297375	-8.854710182000002
238.0	-8.842505489999999	-8.872412076749999	-8.894863542125	-8.910446330374999	-8.919530757	-8.9224731805	-8.919612321875	-8.911225499625	-8.89750356875	-8.878598997375	-8.8547382305
