temp,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
118.0,1048.4351373333334,133.60544006666663,133.60544006666663,0.0,0.0,0.0,133.60544006666663,1048.4351373333334,133.60544006666663,0.0,0.0,0.0,133.60544006666663,133.60544006666663,1048.4351373333334,0.0,0.0,0.0,0.0,0.0,0.0,564.7931121333334,0.0,0.0,0.0,0.0,0.0,0.0,564.7931121333334,0.0,0.0,0.0,0.0,0.0,0.0,564.7931121333334
120.0,1048.33936,133.59395599999996,133.59395599999996,0.0,0.0,0.0,133.59395599999996,1048.33936,133.59395599999996,0.0,0.0,0.0,133.59395599999996,133.59395599999996,1048.33936,0.0,0.0,0.0,0.0,0.0,0.0,564.732792,0.0,0.0,0.0,0.0,0.0,0.0,564.732792,0.0,0.0,0.0,0.0,0.0,0.0,564.732792
122.0,1048.2435826666667,133.5824719333333,133.5824719333333,0.0,0.0,0.0,133.5824719333333,1048.2435826666667,133.5824719333333,0.0,0.0,0.0,133.5824719333333,133.5824719333333,1048.2435826666667,0.0,0.0,0.0,0.0,0.0,0.0,564.6724718666667,0.0,0.0,0.0,0.0,0.0,0.0,564.6724718666667,0.0,0.0,0.0,0.0,0.0,0.0,564.6724718666667
124.0,1048.1478053333333,133.57098786666663,133.57098786666663,0.0,0.0,0.0,133.57098786666663,1048.1478053333333,133.57098786666663,0.0,0.0,0.0,133.57098786666663,133.57098786666663,1048.1478053333333,0.0,0.0,0.0,0.0,0.0,0.0,564.6121517333333,0.0,0.0,0.0,0.0,0.0,0.0,564.6121517333333,0.0,0.0,0.0,0.0,0.0,0.0,564.6121517333333
126.0,1048.052028,133.55950379999996,133.55950379999996,0.0,0.0,0.0,133.55950379999996,1048.052028,133.55950379999996,0.0,0.0,0.0,133.55950379999996,133.55950379999996,1048.052028,0.0,0.0,0.0,0.0,0.0,0.0,564.5518316,0.0,0.0,0.0,0.0,0.0,0.0,564.5518316,0.0,0.0,0.0,0.0,0.0,0.0,564.5518316
128.0,1047.9562506666666,133.5480197333333,133.5480197333333,0.0,0.0,0.0,133.5480197333333,1047.9562506666666,133.5480197333333,0.0,0.0,0.0,133.5480197333333,133.5480197333333,1047.9562506666666,0.0,0.0,0.0,0.0,0.0,0.0,564.4915114666667,0.0,0.0,0.0,0.0,0.0,0.0,564.4915114666667,0.0,0.0,0.0,0.0,0.0,0.0,564.4915114666667
130.0,1047.8604733333334,133.53653566666662,133.53653566666662,0.0,0.0,0.0,133.53653566666662,1047.8604733333334,133.53653566666662,0.0,0.0,0.0,133.53653566666662,133.53653566666662,1047.8604733333334,0.0,0.0,0.0,0.0,0.0,0.0,564.4311913333333,0.0,0.0,0.0,0.0,0.0,0.0,564.4311913333333,0.0,0.0,0.0,0.0,0.0,0.0,564.4311913333333
132.0,1047.764696,133.52505159999995,133.52505159999995,0.0,0.0,0.0,133.52505159999995,1047.764696,133.52505159999995,0.0,0.0,0.0,133.52505159999995,133.52505159999995,1047.764696,0.0,0.0,0.0,0.0,0.0,0.0,564.3708712,0.0,0.0,0.0,0.0,0.0,0.0,564.3708712,0.0,0.0,0.0,0.0,0.0,0.0,564.3708712
134.0,1047.6689186666667,133.5135675333333,133.5135675333333,0.0,0.0,0.0,133.5135675333333,1047.6689186666667,133.5135675333333,0.0,0.0,0.0,133.5135675333333,133.5135675333333,1047.6689186666667,0.0,0.0,0.0,0.0,0.0,0.0,564.3105510666667,0.0,0.0,0.0,0.0,0.0,0.0,564.3105510666667,0.0,0.0,0.0,0.0,0.0,0.0,564.3105510666667
136.0,1047.5731413333333,133.50208346666662,133.50208346666662,0.0,0.0,0.0,133.50208346666662,1047.5731413333333,133.50208346666662,0.0,0.0,0.0,133.50208346666662,133.50208346666662,1047.5731413333333,0.0,0.0,0.0,0.0,0.0,0.0,564.2502309333333,0.0,0.0,0.0,0.0,0.0,0.0,564.2502309333333,0.0,0.0,0.0,0.0,0.0,0.0,564.2502309333333
